EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
;;2017;2001
200000172;CC Faucigny-Glières;2017;634
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2017;1952
200000545;CC des Portes de Romilly-sur-Seine;2017;606
200000628;CC Rhône Lez Provence;2017;2295
200000800;CC Coeur de Sologne;2017;648
200000925;CC de la Plaine Dijonnaise;2017;789
200000933;CC Sauldre et Sologne;2017;1320
200004802;CC du Pays de Fayence;2017;1253
200005932;CC des Portes de Sologne;2017;674
200005957;CC de la Région de Rambervillers;2017;1114
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2017;6155
200006716;CC du Nogentais;2017;1156
200006930;CC du Haut-Allier;2017;606
200006971;CC du Perche;2017;1539
200007052;CC de la Marche Berrichonne;2017;1165
200007177;CC Pays de Nérondes;2017;580
200010650;CA du Grand Dole;2017;1596
200010700;CA Caux Vallée de Seine;2017;3132
200011773;CA Annemasse-les Voirons;2017;1188
200011781;CC Portes du Berry entre Loire et Val d'Aubois;2017;600
200012060;CC Petite Montagne;2017;681
200013050;CC Sauer-Pechelbronn;2017;555
200015162;CC de l'Oriente;2017;1446
200016905;CC du Pays de Lamastre;2017;1104
200017341;CC Lodévois et Larzac;2017;1137
200017846;CA Étampois Sud-Essonne;2017;1974
200018083;CC de Desvres-Samer;2017;2005
200018166;CC Le Grésivaudan;2017;2601
200018406;CC du Romorantinais et du Monestois;2017;2175
200018521;CC du Val de Bouzanne;2017;858
200022986;CC du Grand Pic Saint-Loup;2017;2307
200023075;CC du Pays de Maîche;2017;1681
200023125;CC Les Portes Briardes entre Villes et Forêts;2017;489
200023240;CC Pays de Nemours;2017;790
200023299;CC Coeur de Tarentaise;2017;282
200023307;CA du Grand Villeneuvois;2017;6257
200023372;CC de la Vallée de Chamonix-Mont-Blanc;2017;186
200023414;Métropole Rouen Normandie;2017;6354
200023620;CC de la Gascogne Toulousaine;2017;1295
200023737;CA du Grand Cahors;2017;2943
200023778;CC du Pays de Saint Gilles-Croix-de-Vie;2017;2562
200023794;CC de Blaye;2017;2838
200023919;CC Gâtinais Val de Loing;2017;994
200026573;CC Haut-Jura Saint-Claude;2017;459
200027027;CC Arc Sud Bretagne;2017;3177
200027076;CC Arnon Boischaut Cher;2017;720
200027100;CC Méditerranée Porte des Maures;2017;2818
200027183;CU Perpignan Méditerranée Métropole;2017;18404
200027217;CC Sarlat-Périgord Noir;2017;1219
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;2017;1362
200029734;CC des 4B Sud Charente;2017;4281
200029999;CC Rives de l'Ain - Pays du Cerdon;2017;774
200030195;Métropole Nice Côte d'Azur;2017;10325
200030385;CA de Blois Agglopolys;2017;6397
200030435;CC d'Aire-sur-l'Adour;2017;2499
200030526;CC du Ried de Marckolsheim;2017;1081
200030633;CC du Caudrésis et du Catésis;2017;2812
200030658;CC du Trièves;2017;944
200030674;CA Val de Garonne;2017;9030
200032514;CC Berry-Loire-Vauvise;2017;688
200033025;CA de Bar-le-Duc - Sud Meuse;2017;1310
200033090;CC Plaines et Monts de France;2017;543
200033116;CC Cluses-Arve et Montagnes;2017;538
200033173;CC de la Haute Vallée de Chevreuse;2017;496
200033181;CA Chartres Métropole;2017;4746
200033207;CC Vierzon-Sologne-Berry;2017;1118
200033298;CC des Coëvrons;2017;4522
200033579;CU d'Arras;2017;4680
200033827;CC de Fium'orbu Castellu;2017;1235
200033868;CC des Ballons des Hautes-Vosges;2017;570
200034023;CC Tarn-Agout;2017;1826
200034031;CC des Monts d'Alban et du Villefranchois;2017;1634
200034049;CC Centre Tarn;2017;1880
200034056;CC du Lautrécois et du Pays d'Agout;2017;2022
200034064;CC du Cordais et du Causse (4 C);2017;773
200034098;CC des Montagnes du Giffre;2017;514
200034130;CC Gally Mauldre;2017;621
200034197;CC de Montaigne Montravel et Gurson;2017;2567
200034205;CC de la Costa Verde;2017;919
200034270;CC du Pays de Barr;2017;2204
200034379;CC Pays d'Uzès;2017;2505
200034411;CC du Piémont Cévenol;2017;2271
200034601;CC Causses Aigoual Cévennes;2017;741
200034635;CC du Kochersberg;2017;1605
200034692;CA du Gard Rhodanien;2017;6651
200034700;CA Durance-Lubéron-Verdon;2017;4030
200034718;CC de Vitry, Champagne et Der;2017;2045
200034726;CC Bastides de Lomagne;2017;1851
200034825;CA du Grand Guéret;2017;2266
200034833;CC des Bastides Dordogne-Périgord;2017;2486
200034874;CC Côtes de Meuse Woëvre;2017;992
200034882;CC Pays du Mont-Blanc;2017;1494
